Client_ID,Client_Name,Bank_Name,Account_Type,Currency,Transaction_Amount,Interest_Rate,Maturity_Date,Email,Phone,Loan_Status,Remarks
27116,  alpha holdings ,BOFA,CURRENT,EUR,,,,,01712345678,,
73309,MARY INVEST,WELLS FARGO,Savings,GBP,$256366,11.69,21-06-2025,client@mail.com,01712-345678,,
,MARY INVEST,HSBC,loan,,$479609,1.67,2026.06.12,,1712345678,, HIGH RISK 
18776,MARY INVEST,HSBC, investment ,EUR,,6.04,03/04/2024, CLIENT@BANK.COM ,01712345678,Rejected, good payer 
,MARY INVEST,HSBC,Savings,USD,$281322,,,wrongmail,01712345678,approved, HIGH RISK 
99925,,CITI,loan,EUR,86396,12.5,,,1712345678, PENDING , HIGH RISK 
41529,beta funds,WELLS FARGO,Savings,USD,,3.24,,,,Rejected,
,john capital,CHASE,loan,USD,,5.42,16-09-2024,wrongmail,1712345678, PENDING ,
14046,  alpha holdings ,WELLS FARGO,Savings,GBP,$283415,8.77,26-04-2026, CLIENT@BANK.COM ,, PENDING , HIGH RISK 
88750,,WELLS FARGO,Savings,USD,$345722,,2024.09.15, CLIENT@BANK.COM ,01712345678,,
,,BOFA,Savings,USD,,10.41,2025.03.27,client@mail.com,1712345678,approved,
85947,john capital,CITI,loan,EUR,444917,,06/28/2025,,1712345678, PENDING , HIGH RISK 
96308,  alpha holdings ,BOFA, investment ,,,,2025.06.04,,01712-345678,, good payer 
52966,MARY INVEST,BOFA,CURRENT,USD,483641,6.41,03/06/2026, CLIENT@BANK.COM ,01712-345678,approved, follow up 
,beta funds,CHASE, investment ,USD,283760,10.66,17-05-2024,client@mail.com,1712345678, PENDING ,
,beta funds,WELLS FARGO,CURRENT,EUR,,4.88,06-12-2025,client@mail.com,1712345678,approved, follow up 
79963,  alpha holdings ,,Savings,,83837,9.76,10/20/2025,,1712345678,,
16592,  alpha holdings ,WELLS FARGO,loan,BDT,58198,5.92,06/21/2024, CLIENT@BANK.COM ,01712345678,,
86925,beta funds,BOFA,Savings,GBP,$222809,10.02,27-04-2025,client@mail.com,,approved, HIGH RISK 
50683,john capital,,loan,,$172876,,04/15/2024,client@mail.com,1712345678, PENDING , follow up 
16338,  alpha holdings ,CHASE,Savings,EUR,,11.86,2024.07.25, CLIENT@BANK.COM ,1712345678, PENDING , good payer 
,,CITI, investment ,GBP,,5.76,07/02/2024,wrongmail,,, good payer 
71065,beta funds,,CURRENT,EUR,,2.86,2024.11.13,client@mail.com,01712345678, PENDING , good payer 
,  alpha holdings ,HSBC,CURRENT,USD,$17032,,02/11/2025,wrongmail,01712-345678,, follow up 
,,CITI,loan,,$237661,,,wrongmail,01712345678,approved, good payer 
,  alpha holdings ,,Savings,USD,$117700,,,client@mail.com,01712-345678,,
,MARY INVEST,WELLS FARGO, investment ,BDT,$227737,5.72,10/03/2024,client@mail.com,,approved, good payer 
70433,beta funds,HSBC, investment ,,,,12/22/2025,client@mail.com,01712345678, PENDING , follow up 
,beta funds,,loan,,$149578,,09/28/2025,,, PENDING , HIGH RISK 
,,HSBC,CURRENT,USD,187153,7.42,04/29/2026, CLIENT@BANK.COM ,01712345678, PENDING , follow up 
,beta funds,CITI, investment ,BDT,,7.99,, CLIENT@BANK.COM ,1712345678,, HIGH RISK 
,  alpha holdings ,,Savings,BDT,226313,7.61,, CLIENT@BANK.COM ,,approved, good payer 
,MARY INVEST,,CURRENT,GBP,$232356,10.75,01-03-2025, CLIENT@BANK.COM ,1712345678,, HIGH RISK 
87354,john capital,,CURRENT,BDT,229220,8.7,,,, PENDING ,
71870,john capital,WELLS FARGO,loan,USD,$148184,,27-08-2025,,, PENDING , good payer 
,beta funds,WELLS FARGO,Savings,EUR,,,06/23/2024, CLIENT@BANK.COM ,01712-345678, PENDING , HIGH RISK 
58652,john capital,,CURRENT,USD,$432970,2.17,, CLIENT@BANK.COM ,, PENDING , follow up 
52531,beta funds,BOFA,Savings,,$279319,9.36,11/26/2024, CLIENT@BANK.COM ,1712345678,,
,MARY INVEST,CHASE,CURRENT,BDT,$479474,11.11,,,01712345678,Rejected, follow up 
,beta funds,CHASE,CURRENT,GBP,$1838,6.56,24-12-2025,client@mail.com,, PENDING , good payer 
74623,john capital,WELLS FARGO,loan,USD,,,2025.09.15,,01712-345678,Rejected, HIGH RISK 
,beta funds,HSBC,Savings,GBP,75812,7.32,2025.11.29,client@mail.com,01712345678,,
48639,MARY INVEST,,Savings,EUR,,,02/29/2024,wrongmail,1712345678, PENDING , follow up 
,  alpha holdings ,CHASE,loan,,$264247,4.68,07-06-2025,client@mail.com,01712-345678, PENDING , good payer 
,MARY INVEST,WELLS FARGO,CURRENT,BDT,$318641,5.69,01-12-2025, CLIENT@BANK.COM ,01712345678,approved, follow up 
,beta funds,WELLS FARGO,CURRENT,GBP,$403315,4.3,,client@mail.com,1712345678, PENDING , good payer 
70637,  alpha holdings ,WELLS FARGO,Savings,USD,423940,5.87,,client@mail.com,01712345678, PENDING ,
,,WELLS FARGO,loan,,441868,,10/04/2025,client@mail.com,1712345678,approved, follow up 
,john capital,BOFA,loan,EUR,,2.96,2024.08.16, CLIENT@BANK.COM ,1712345678, PENDING , good payer 
,MARY INVEST,CITI,Savings,GBP,,,04/20/2025,wrongmail,1712345678,, good payer 
97996,beta funds,HSBC,loan,USD,,6.35,10/27/2025, CLIENT@BANK.COM ,1712345678,, good payer 
,,HSBC, investment ,EUR,,5.14,2024.10.16,,01712-345678, PENDING , follow up 
43598,john capital,BOFA, investment ,EUR,$371069,12.42,20-10-2025,,01712-345678,approved,
,beta funds,CITI, investment ,EUR,$152797,2.05,,,, PENDING ,
,,BOFA,loan,GBP,107534,,24-05-2026, CLIENT@BANK.COM ,1712345678,approved, follow up 
,  alpha holdings ,BOFA, investment ,USD,$413914,,2025.08.12,wrongmail,01712-345678, PENDING , follow up 
,  alpha holdings ,HSBC,loan,USD,,,22-01-2025,,01712345678,, HIGH RISK 
99211,  alpha holdings ,CHASE,loan,GBP,250126,4.43,, CLIENT@BANK.COM ,, PENDING , HIGH RISK 
,john capital,CHASE, investment ,,$85528,8.55,,wrongmail,01712-345678,Rejected, HIGH RISK 
48049,john capital,CITI,Savings,GBP,$167050,5.56,2025.06.20,wrongmail,1712345678,Rejected, good payer 
16174,,HSBC, investment ,BDT,$326762,,2025.12.02, CLIENT@BANK.COM ,,, follow up 
,MARY INVEST,HSBC,CURRENT,,$59939,,2024.01.15, CLIENT@BANK.COM ,01712345678, PENDING , good payer 
76954,,,loan,GBP,,,2025.02.05, CLIENT@BANK.COM ,, PENDING , HIGH RISK 
87022,,HSBC,loan,GBP,432266,12.23,2025.08.29,wrongmail,, PENDING , good payer 
88215,john capital,,CURRENT,BDT,295344,,, CLIENT@BANK.COM ,01712-345678, PENDING ,
,,HSBC, investment ,USD,$394839,,2024.09.14,,01712-345678,Rejected, HIGH RISK 
76458,,BOFA, investment ,,62087,11.65,2024.08.25,,1712345678,approved,
49311,,CITI,loan,,134040,,31-03-2026,,01712345678,approved, follow up 
,  alpha holdings ,,CURRENT,BDT,$455178,11.6,2024.02.02, CLIENT@BANK.COM ,,approved, follow up 
,MARY INVEST,BOFA,loan,,,5.09,01-04-2025,wrongmail,1712345678,Rejected, good payer 
43663,,CHASE,loan,,145022,7.68,01/02/2026, CLIENT@BANK.COM ,01712-345678,approved, good payer 
,beta funds,BOFA, investment ,EUR,$148505,,,client@mail.com,01712-345678, PENDING , follow up 
57520,  alpha holdings ,CITI,loan,GBP,,6.72,06/17/2024,wrongmail,01712345678,, follow up 
,,HSBC,loan,USD,234294,2.29,,wrongmail,01712345678, PENDING ,
